chromosome	MSE	SSIM	PSNR
chr1	0.0005047230557371161	0.8490104822264578	32.96946770205553
chr2	0.000393539653065398	0.8465407794536964	34.050113912212296
chr3	0.00038899023819616513	0.8447861566250978	34.100611856156846
chr4	0.0002780782025852174	0.8570931223564199	35.558328961956235
chr5	0.00034998632510692374	0.8477341494859492	34.55948800265405
chr6	0.00041998268200270345	0.8444288074264276	33.76768513969943
chr7	0.00038791774998001423	0.8482866484992653	34.112602359465725
chr8	0.00035992216409557826	0.8502006501265504	34.43791287898937
chr9	0.00038290869323248254	0.8658655987744786	34.16904660268932
chr10	0.0004905581419053072	0.8428961905896893	33.093094232758816
chr11	0.0005780651527831848	0.8364848011237491	32.38023135067122
chr12	0.0005059645552834217	0.8408630240527128	32.95879820218517
chr13	0.00030484834986958733	0.8657582722323677	35.159160089897604
chr14	0.0004420596456484619	0.8576352397693531	33.54519030533383
chr15	0.00047827917782371286	0.8622288160258216	33.203184351886065
chr16	0.0006434676887691454	0.8489139749700119	31.914731884797966
chr17	0.0009929261764850938	0.8326911957564236	30.030829961212536
chr18	0.0004132590307189128	0.8512535748015932	33.837775421678096
chr19	0.0009099788677959895	0.8296834861417917	30.409686453445126
chr20	0.000743135421331228	0.8365165234564091	31.289319792416094
chr21	0.00044508670438888666	0.872426305480306	33.515552811747725
chr22	0.0008658679507825214	0.8649246680876496	30.62548284868505
chrX	0.00026885757633919886	0.8620147757031248	35.704775591713805
average	0.0005021044871272283	0.8503581410071889	33.27795959627426
standard error	4.180564996182233e-05	0.002401448981323573	0.3258410825467172
