chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	303.0	671.0	222.0	224.0	0.7326732673267327	0.33383010432190763	0.4586734552699301
chr2	144.0	354.0	80.0	82.0	0.5555555555555556	0.23163841807909605	0.32695374800637955
chr3	133.0	343.0	75.0	77.0	0.5639097744360902	0.22448979591836735	0.3211366290385364
chr4	65.0	214.0	28.0	29.0	0.4307692307692308	0.13551401869158877	0.20616986162244508
chr5	92.0	257.0	48.0	48.0	0.5217391304347826	0.1867704280155642	0.2750716332378223
chr6	123.0	347.0	79.0	80.0	0.6422764227642277	0.23054755043227665	0.3393015327624621
chr7	118.0	272.0	74.0	75.0	0.6271186440677966	0.2757352941176471	0.3830492097453241
chr8	66.0	207.0	41.0	42.0	0.6212121212121212	0.2028985507246377	0.305888622435385
chr10	92.0	258.0	56.0	57.0	0.6086956521739131	0.22093023255813954	0.3241925655088361
chr11	124.0	353.0	83.0	85.0	0.6693548387096774	0.24079320113314448	0.35417555661537686
chr12	93.0	242.0	61.0	61.0	0.6559139784946236	0.25206611570247933	0.3641791044776119
chr13	48.0	64.0	11.0	11.0	0.22916666666666666	0.171875	0.1964285714285714
chr14	43.0	129.0	23.0	23.0	0.5348837209302325	0.17829457364341086	0.26744186046511625
chr15	76.0	189.0	53.0	53.0	0.6973684210526315	0.2804232804232804	0.4
chr16	91.0	182.0	60.0	61.0	0.6593406593406593	0.33516483516483514	0.4444174609920466
chr17	106.0	276.0	74.0	77.0	0.6981132075471698	0.27898550724637683	0.3986566850906038
chr18	33.0	83.0	14.0	14.0	0.42424242424242425	0.1686746987951807	0.24137931034482757
chr19	93.0	230.0	65.0	66.0	0.6989247311827957	0.28695652173913044	0.406866464339909
chr20	73.0	171.0	56.0	55.0	0.7671232876712328	0.3216374269005848	0.4532411154440438
chr21	28.0	59.0	19.0	19.0	0.6785714285714286	0.3220338983050847	0.43678160919540227
chr22	78.0	112.0	45.0	46.0	0.5769230769230769	0.4107142857142857	0.4798331015299026
chrX	77.0	129.0	17.0	17.0	0.22077922077922077	0.13178294573643412	0.1650485436893204
average	95.4090909090909	233.72727272727272	58.36363636363637	59.18181818181818	0.5824843391296496	0.24644348560742968	0.3431312109654479
standard error	11.940266026119275	28.590948664450686	9.231169074781903	9.34607271356568	0.03097918807911119	0.015247184078276937	0.019235521005469925
overall	2099.0	5142.0	1284.0	1302.0	0.6117198666031444	0.2532088681446908	0.35816336958526773
