chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	304.0	671.0	244.0	250.0	0.8026315789473685	0.37257824143070045	0.5089185897115016
chr2	137.0	354.0	59.0	64.0	0.4306569343065693	0.1807909604519774	0.2546705334862076
chr3	114.0	343.0	51.0	52.0	0.4473684210526316	0.15160349854227406	0.22646343025489946
chr4	120.0	214.0	15.0	16.0	0.125	0.07476635514018691	0.0935672514619883
chr5	82.0	257.0	36.0	37.0	0.43902439024390244	0.14396887159533073	0.21683216669379782
chr6	112.0	347.0	74.0	79.0	0.6607142857142857	0.2276657060518732	0.33864334125007234
chr7	112.0	272.0	70.0	70.0	0.625	0.25735294117647056	0.3645833333333333
chr8	83.0	207.0	31.0	32.0	0.37349397590361444	0.15458937198067632	0.2186707814394357
chr10	91.0	258.0	49.0	51.0	0.5384615384615384	0.19767441860465115	0.2891859052247874
chr11	107.0	353.0	73.0	75.0	0.6822429906542056	0.21246458923512748	0.32402201574243944
chr12	83.0	242.0	54.0	54.0	0.6506024096385542	0.2231404958677686	0.3323076923076923
chr13	110.0	64.0	7.0	7.0	0.06363636363636363	0.109375	0.08045977011494253
chr14	80.0	129.0	19.0	19.0	0.2375	0.14728682170542637	0.18181818181818182
chr15	64.0	189.0	40.0	41.0	0.625	0.21693121693121692	0.32207384131971717
chr16	84.0	182.0	56.0	57.0	0.6666666666666666	0.3131868131868132	0.4261682242990654
chr17	123.0	276.0	83.0	84.0	0.6747967479674797	0.30434782608695654	0.41949458483754515
chr18	42.0	83.0	11.0	11.0	0.2619047619047619	0.13253012048192772	0.17600000000000002
chr19	103.0	230.0	86.0	87.0	0.8349514563106796	0.3782608695652174	0.520649942590724
chr20	66.0	171.0	42.0	42.0	0.6363636363636364	0.24561403508771928	0.35443037974683544
chr21	29.0	59.0	22.0	21.0	0.7586206896551724	0.3559322033898305	0.48453067645516507
chr22	71.0	112.0	49.0	51.0	0.6901408450704225	0.45535714285714285	0.548688110659787
chrX	181.0	129.0	16.0	16.0	0.08839779005524862	0.12403100775193798	0.1032258064516129
average	104.45454545454545	233.72727272727272	53.95454545454545	55.27272727272727	0.5142352492069592	0.22633856850551026	0.30842747996362424
standard error	11.771402589732256	28.590948664450686	10.354637431226298	10.62631337809332	0.049828442621430775	0.021398599711715278	0.029702229445024618
overall	2298.0	5142.0	1187.0	1216.0	0.5165361183637946	0.23648385842084793	0.3244335025638571
