chromosome	position	predicted	target	matched predicted	matched target	precision	recall	F1 score
1	0	3	9	2.0	2.0	0.6666666666666666	0.2222222222222222	0.3333333333333333
1	400	3	11	3.0	3.0	1.0	0.2727272727272727	0.42857142857142855
1	800	13	22	10.0	11.0	0.7692307692307693	0.5	0.6060606060606061
1	1200	9	12	4.0	5.0	0.4444444444444444	0.4166666666666667	0.4301075268817204
1	1600	30	19	10.0	11.0	0.3333333333333333	0.5789473684210527	0.4230769230769231
1	2000	14	26	11.0	11.0	0.7857142857142857	0.4230769230769231	0.5499999999999999
1	2400	18	29	15.0	15.0	0.8333333333333334	0.5172413793103449	0.6382978723404257
1	2800	7	22	7.0	7.0	1.0	0.3181818181818182	0.48275862068965525
1	3200	2	8	1.0	1.0	0.5	0.125	0.2
1	3600	8	12	7.0	8.0	0.875	0.6666666666666666	0.7567567567567568
1	4000	12	18	11.0	10.0	0.9166666666666666	0.5555555555555556	0.6918238993710693
1	4400	11	19	8.0	9.0	0.7272727272727273	0.47368421052631576	0.5737051792828686
1	4800	0	6	0.0	0.0		0.0	
1	5200	8	17	8.0	8.0	1.0	0.47058823529411764	0.64
1	5600	1	2	1.0	1.0	1.0	0.5	0.6666666666666666
1	6000	2	6	2.0	2.0	1.0	0.3333333333333333	0.5
1	6400	8	15	8.0	8.0	1.0	0.5333333333333333	0.6956521739130435
1	6800	2	11	2.0	2.0	1.0	0.18181818181818182	0.3076923076923077
1	7600	0	2	0.0	0.0		0.0	
1	8400	6	8	5.0	5.0	0.8333333333333334	0.625	0.7142857142857143
1	8800	6	5	2.0	3.0	0.3333333333333333	0.6	0.42857142857142855
1	9200	7	9	5.0	5.0	0.7142857142857143	0.5555555555555556	0.625
1	10000	6	4	1.0	1.0	0.16666666666666666	0.25	0.2
1	10800	18	23	14.0	14.0	0.7777777777777778	0.6086956521739131	0.6829268292682927
1	11200	8	15	6.0	6.0	0.75	0.4	0.5217391304347826
1	11600	5	12	4.0	4.0	0.8	0.3333333333333333	0.47058823529411764
1	15200	13	29	13.0	14.0	1.0	0.4827586206896552	0.6511627906976745
1	15600	14	21	10.0	12.0	0.7142857142857143	0.5714285714285714	0.6349206349206349
1	16000	10	15	6.0	6.0	0.6	0.4	0.48
1	16400	6	14	5.0	5.0	0.8333333333333334	0.35714285714285715	0.5
1	16800	0	5	0.0	0.0		0.0	
1	17200	11	15	7.0	7.0	0.6363636363636364	0.4666666666666667	0.5384615384615384
1	17600	1	8	1.0	1.0	1.0	0.125	0.2222222222222222
1	18000	13	21	10.0	10.0	0.7692307692307693	0.47619047619047616	0.5882352941176471
1	18400	2	4	0.0	0.0	0.0	0.0	0.0
1	19200	0	1	0.0	0.0		0.0	
1	19600	4	3	0.0	0.0	0.0	0.0	0.0
1	20000	18	19	15.0	14.0	0.8333333333333334	0.7368421052631579	0.782122905027933
1	20400	21	29	9.0	9.0	0.42857142857142855	0.3103448275862069	0.36
1	20800	4	12	4.0	5.0	1.0	0.4166666666666667	0.5882352941176471
1	21200	5	8	5.0	5.0	1.0	0.625	0.7692307692307692
1	22000	4	5	2.0	2.0	0.5	0.4	0.4444444444444444
1	22400	9	14	6.0	6.0	0.6666666666666666	0.42857142857142855	0.5217391304347826
1	22800	4	13	2.0	2.0	0.5	0.15384615384615385	0.23529411764705882
