chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	2213.0	872.0	585.0	583.0	0.26434704021690014	0.6685779816513762	0.3788870626490378
chr2	1381.0	538.0	313.0	314.0	0.2266473569876901	0.5836431226765799	0.32650308623519175
chr3	727.0	369.0	199.0	196.0	0.2737276478679505	0.5311653116531165	0.36127693668576305
chr4	546.0	233.0	116.0	114.0	0.21245421245421245	0.4892703862660944	0.2962631060130836
chr5	1055.0	377.0	218.0	222.0	0.2066350710900474	0.5888594164456233	0.30592042882969445
chr6	1206.0	478.0	303.0	302.0	0.2512437810945274	0.6317991631799164	0.3595195719050931
chr7	1490.0	382.0	265.0	264.0	0.17785234899328858	0.6910994764397905	0.2829009886977092
chr8	720.0	279.0	169.0	169.0	0.23472222222222222	0.6057347670250897	0.3383383383383384
chr10	890.0	330.0	199.0	201.0	0.22359550561797753	0.6090909090909091	0.3271099116781158
chr11	874.0	441.0	271.0	264.0	0.3100686498855835	0.5986394557823129	0.40853454847578996
chr12	990.0	384.0	224.0	222.0	0.22626262626262628	0.578125	0.3252364321312248
chr13	214.0	101.0	44.0	43.0	0.205607476635514	0.42574257425742573	0.2772973765205921
chr14	423.0	215.0	103.0	104.0	0.24349881796690306	0.48372093023255813	0.32393365287206854
chr15	718.0	260.0	167.0	166.0	0.23259052924791088	0.6384615384615384	0.3409672340844239
chr16	941.0	334.0	226.0	218.0	0.24017003188097769	0.6526946107784432	0.35113426602333386
chr17	1084.0	345.0	219.0	221.0	0.20202952029520296	0.6405797101449275	0.3071791926224696
chr18	303.0	168.0	81.0	81.0	0.26732673267326734	0.48214285714285715	0.34394904458598724
chr19	643.0	184.0	144.0	139.0	0.223950233281493	0.7554347826086957	0.34548169116187555
chr20	448.0	204.0	140.0	139.0	0.3125	0.6813725490196079	0.4284833538840937
chr21	268.0	92.0	67.0	66.0	0.25	0.717391304347826	0.37078651685393255
chr22	480.0	181.0	121.0	120.0	0.2520833333333333	0.6629834254143646	0.3652784241707651
chrX	466.0	189.0	73.0	70.0	0.15665236051502146	0.37037037037037035	0.22017795204343238
average	821.8181818181819	316.1818181818182	193.04545454545453	191.72727272727272	0.23608934084193864	0.5948590746813374	0.3356890507482735
standard error	100.22558184907403	36.67398410043953	24.861127472206395	24.82677491056101	0.007919155194002844	0.020615894810277532	0.009619230084265004
overall	18080.0	6956.0	4247.0	4218.0	0.23490044247787611	0.6063829787234043	0.33862459766481234
