chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	2266.0	872.0	568.0	561.0	0.2506619593998235	0.643348623853211	0.3607631266409363
chr2	1503.0	538.0	317.0	319.0	0.2109115103127079	0.5929368029739777	0.3111462562480481
chr3	901.0	369.0	209.0	207.0	0.23196448390677027	0.5609756097560976	0.3282124812235423
chr4	483.0	233.0	122.0	118.0	0.2525879917184265	0.5064377682403434	0.3370639194568017
chr5	903.0	377.0	214.0	216.0	0.2369878183831672	0.5729442970822282	0.33528938148741866
chr6	1260.0	478.0	287.0	285.0	0.22777777777777777	0.5962343096234309	0.32962848035205505
chr7	1375.0	382.0	262.0	261.0	0.19054545454545455	0.6832460732984293	0.2979874019247907
chr8	723.0	279.0	168.0	166.0	0.23236514522821577	0.5949820788530465	0.33420816106417395
chr10	978.0	330.0	196.0	197.0	0.20040899795501022	0.5969696969696969	0.30007849354565447
chr11	944.0	441.0	258.0	257.0	0.2733050847457627	0.5827664399092971	0.37210215889513054
chr12	1004.0	384.0	246.0	234.0	0.2450199203187251	0.609375	0.34950819672131145
chr13	272.0	101.0	43.0	43.0	0.15808823529411764	0.42574257425742573	0.2305630026809651
chr14	579.0	215.0	121.0	121.0	0.20898100172711573	0.5627906976744186	0.30478589420654917
chr15	744.0	260.0	157.0	161.0	0.2110215053763441	0.6192307692307693	0.3147742272919728
chr16	1075.0	334.0	221.0	220.0	0.2055813953488372	0.6586826347305389	0.31336001598380997
chr17	1212.0	345.0	248.0	238.0	0.20462046204620463	0.6898550724637681	0.31562286105407256
chr18	325.0	168.0	88.0	87.0	0.27076923076923076	0.5178571428571429	0.3556050999790984
chr19	675.0	184.0	130.0	129.0	0.1925925925925926	0.7010869565217391	0.30217577368349924
chr20	562.0	204.0	141.0	142.0	0.2508896797153025	0.696078431372549	0.36883796330410434
chr21	230.0	92.0	62.0	62.0	0.26956521739130435	0.6739130434782609	0.38509316770186336
chr22	463.0	181.0	123.0	121.0	0.265658747300216	0.6685082872928176	0.38022124006846686
chrX	876.0	189.0	86.0	83.0	0.09817351598173515	0.43915343915343913	0.16047301094849487
average	879.6818181818181	316.1818181818182	193.95454545454547	192.1818181818182	0.22220353308340188	0.5996870795269376	0.32215910520285274
standard error	99.62528031461022	36.67398410043953	24.039152522385024	23.77224511773803	0.008764270344760402	0.01652505625454492	0.010669714162132905
overall	19353.0	6956.0	4267.0	4228.0	0.22048261251485557	0.6078205865439908	0.32358651038364517
