chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	41.0	1220.0	13.0	13.0	0.3170731707317073	0.010655737704918032	0.020618556701030924
chr2	15.0	796.0	2.0	2.0	0.13333333333333333	0.002512562814070352	0.004932182490752158
chr3	15.0	670.0	4.0	4.0	0.26666666666666666	0.005970149253731343	0.01167883211678832
chr4	3.0	341.0	0.0	0.0	0.0	0.0	0.0
chr5	9.0	592.0	1.0	1.0	0.1111111111111111	0.0016891891891891893	0.0033277870216306157
chr6	21.0	796.0	3.0	3.0	0.14285714285714285	0.0037688442211055275	0.007343941248470012
chr7	10.0	621.0	3.0	3.0	0.3	0.004830917874396135	0.009508716323296355
chr8	7.0	446.0	2.0	2.0	0.2857142857142857	0.004484304932735426	0.008830022075055188
chr10	8.0	530.0	0.0	0.0	0.0	0.0	0.0
chr11	20.0	671.0	5.0	5.0	0.25	0.007451564828614009	0.014471780028943561
chr12	11.0	590.0	1.0	1.0	0.09090909090909091	0.001694915254237288	0.0033277870216306157
chr13	1.0	131.0	0.0	0.0	0.0	0.0	0.0
chr14	3.0	276.0	1.0	1.0	0.3333333333333333	0.0036231884057971015	0.007168458781362007
chr15	5.0	398.0	2.0	2.0	0.4	0.005025125628140704	0.009925558312655087
chr16	19.0	429.0	6.0	6.0	0.3157894736842105	0.013986013986013986	0.026785714285714284
chr17	29.0	626.0	9.0	9.0	0.3103448275862069	0.01437699680511182	0.027480916030534347
chr18	1.0	188.0	0.0	0.0	0.0	0.0	0.0
chr19	29.0	594.0	12.0	12.0	0.41379310344827586	0.020202020202020204	0.03852327447833066
chr20	6.0	331.0	3.0	3.0	0.5	0.00906344410876133	0.017804154302670624
chr21	2.0	142.0	1.0	1.0	0.5	0.007042253521126761	0.013888888888888888
chr22	11.0	248.0	6.0	6.0	0.5454545454545454	0.024193548387096774	0.04633204633204633
chrX	1.0	251.0	0.0	0.0	0.0	0.0	0.0
average	12.136363636363637	494.8636363636364	3.3636363636363638	3.3636363636363638	0.23710818567408679	0.0063895807780484535	0.012361300747263637
standard error	2.277592195752673	55.39239384915607	0.8072867671646781	0.8072867671646781	0.03790002322595311	0.0014279899062120873	0.0027292214100504706
overall	267.0	10887.0	74.0	74.0	0.27715355805243447	0.006797097455681088	0.013268782499551731
