chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	339.0	669.0	259.0	264.0	0.7640117994100295	0.39461883408071746	0.5204306476840699
chr2	117.0	356.0	73.0	76.0	0.6239316239316239	0.21348314606741572	0.31811926605504587
chr3	96.0	345.0	66.0	66.0	0.6875	0.19130434782608696	0.29931972789115646
chr4	67.0	214.0	21.0	22.0	0.31343283582089554	0.102803738317757	0.15482573726541557
chr5	84.0	257.0	50.0	51.0	0.5952380952380952	0.19844357976653695	0.2976537877903584
chr6	118.0	346.0	83.0	87.0	0.7033898305084746	0.2514450867052023	0.3704596757644162
chr7	123.0	271.0	85.0	87.0	0.6910569105691057	0.3210332103321033	0.4384040787289542
chr8	61.0	203.0	33.0	34.0	0.5409836065573771	0.16748768472906403	0.25578479425510087
chr10	89.0	256.0	57.0	58.0	0.6404494382022472	0.2265625	0.33471701933785564
chr11	122.0	348.0	82.0	82.0	0.6721311475409836	0.23563218390804597	0.3489361702127659
chr12	97.0	244.0	63.0	63.0	0.6494845360824743	0.2581967213114754	0.36950146627565983
chr13	62.0	65.0	9.0	9.0	0.14516129032258066	0.13846153846153847	0.14173228346456693
chr14	44.0	131.0	21.0	21.0	0.4772727272727273	0.16030534351145037	0.24
chr15	75.0	184.0	52.0	53.0	0.6933333333333334	0.28804347826086957	0.4069999261611164
chr16	106.0	182.0	67.0	67.0	0.6320754716981132	0.36813186813186816	0.4652777777777778
chr17	130.0	279.0	97.0	97.0	0.7461538461538462	0.34767025089605735	0.47432762836185816
chr18	37.0	84.0	20.0	20.0	0.5405405405405406	0.23809523809523808	0.3305785123966942
chr19	100.0	229.0	78.0	79.0	0.78	0.34497816593886466	0.4783790078410061
chr20	62.0	173.0	48.0	48.0	0.7741935483870968	0.2774566473988439	0.40851063829787226
chr21	24.0	60.0	18.0	18.0	0.75	0.3	0.42857142857142855
chr22	65.0	108.0	46.0	46.0	0.7076923076923077	0.42592592592592593	0.5317919075144509
chrX	126.0	132.0	18.0	18.0	0.14285714285714285	0.13636363636363635	0.13953488372093023
average	97.45454545454545	233.45454545454547	61.18181818181818	62.09090909090909	0.6032222741872268	0.25392923300130443	0.3524480166076592
standard error	13.228548308795137	28.490427288267956	10.928464038898973	11.145031523790013	0.039234905176776275	0.018844598014431016	0.024720432362522655
overall	2144.0	5136.0	1346.0	1366.0	0.6277985074626866	0.2659657320872274	0.3736396742046138
