chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	4234.0	1220.0	697.0	688.0	0.16461974492205952	0.5639344262295082	0.2548465030457053
chr2	4138.0	796.0	332.0	326.0	0.08023199613339778	0.40954773869346733	0.1341779998264384
chr3	3187.0	670.0	256.0	250.0	0.08032632569814872	0.373134328358209	0.13219453251675667
chr4	2850.0	341.0	115.0	115.0	0.04035087719298246	0.33724340175953077	0.07207771858351614
chr5	2793.0	592.0	231.0	225.0	0.08270676691729323	0.38006756756756754	0.13585092076735186
chr6	2815.0	796.0	354.0	354.0	0.12575488454706926	0.44472361809045224	0.19606757130988647
chr7	2644.0	621.0	281.0	279.0	0.10627836611195159	0.4492753623188406	0.17189427051986622
chr8	2263.0	446.0	177.0	172.0	0.07821475916924436	0.38565022421524664	0.13005309946217036
chr10	2276.0	530.0	220.0	214.0	0.09666080843585237	0.4037735849056604	0.15598081051710885
chr11	2327.0	671.0	326.0	325.0	0.1400945423291792	0.4843517138599106	0.21732865240851224
chr12	2339.0	590.0	272.0	268.0	0.11628901239846089	0.4542372881355932	0.18517220181575245
chr13	1584.0	131.0	34.0	33.0	0.021464646464646464	0.25190839694656486	0.03955857983993231
chr14	1747.0	276.0	106.0	108.0	0.06067544361763022	0.391304347826087	0.10506029403667198
chr15	1592.0	398.0	211.0	211.0	0.13253768844221106	0.5301507537688442	0.21206030150753769
chr16	1608.0	429.0	240.0	234.0	0.14925373134328357	0.5454545454545454	0.234375
chr17	1701.0	626.0	312.0	311.0	0.18342151675485008	0.4968051118210863	0.2679246689667455
chr18	1219.0	188.0	68.0	66.0	0.05578342904019688	0.35106382978723405	0.0962697612561402
chr19	1494.0	594.0	302.0	302.0	0.20214190093708165	0.5084175084175084	0.289272030651341
chr20	1189.0	331.0	185.0	179.0	0.15559293523969722	0.540785498489426	0.24165711908810286
chr21	552.0	142.0	62.0	61.0	0.11231884057971014	0.4295774647887324	0.17807703173556835
chr22	834.0	248.0	142.0	139.0	0.17026378896882494	0.5604838709677419	0.2611848460388244
chrX	3171.0	251.0	69.0	68.0	0.021759697256385997	0.27091633466135456	0.04028384138881377
average	2207.1363636363635	494.8636363636364	226.9090909090909	224.0	0.10803371375000714	0.4346730416846869	0.1705167161492156
standard error	207.13551721311632	55.39239384915607	30.52108128803677	30.22648991597755	0.010940517356439392	0.019013321510283895	0.015593839496162405
overall	48557.0	10887.0	4992.0	4928.0	0.10280701031777087	0.45264994948103243	0.16755785378399438
