chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	1530.0	671.0	219.0	220.0	0.14313725490196078	0.32786885245901637	0.19927659864874084
chr2	1479.0	354.0	63.0	64.0	0.04259634888438134	0.1807909604519774	0.06894782742522956
chr3	2112.0	343.0	66.0	64.0	0.03125	0.18658892128279883	0.053534086156419906
chr4	1244.0	214.0	19.0	20.0	0.01527331189710611	0.09345794392523364	0.026255786637186484
chr5	699.0	257.0	46.0	47.0	0.06580829756795423	0.1828793774319066	0.09678791270285396
chr6	1076.0	347.0	69.0	69.0	0.06412639405204461	0.1988472622478386	0.09697821503865074
chr7	1048.0	272.0	61.0	61.0	0.05820610687022901	0.22426470588235295	0.09242424242424242
chr8	563.0	207.0	28.0	28.0	0.0497335701598579	0.13526570048309178	0.07272727272727272
chr10	981.0	258.0	56.0	57.0	0.05708460754332314	0.22093023255813954	0.0907269238968237
chr11	696.0	353.0	76.0	78.0	0.10919540229885058	0.22096317280453256	0.14616105330637608
chr12	680.0	242.0	46.0	45.0	0.06764705882352941	0.1859504132231405	0.09920444742643535
chr13	746.0	64.0	10.0	8.0	0.013404825737265416	0.125	0.02421307506053269
chr14	728.0	129.0	18.0	18.0	0.024725274725274724	0.13953488372093023	0.042007001166861145
chr15	273.0	189.0	51.0	53.0	0.18681318681318682	0.2804232804232804	0.22424091587854655
chr16	392.0	182.0	51.0	50.0	0.13010204081632654	0.27472527472527475	0.17658056921265844
chr17	474.0	276.0	77.0	77.0	0.16244725738396623	0.27898550724637683	0.2053333333333333
chr18	740.0	83.0	15.0	14.0	0.02027027027027027	0.1686746987951807	0.03619129685480397
chr19	172.0	230.0	66.0	66.0	0.38372093023255816	0.28695652173913044	0.3283582089552239
chr20	369.0	171.0	52.0	52.0	0.14092140921409213	0.30409356725146197	0.1925925925925926
chr21	283.0	59.0	20.0	20.0	0.0706713780918728	0.3389830508474576	0.11695906432748537
chr22	409.0	112.0	46.0	46.0	0.11246943765281174	0.4107142857142857	0.17658349328214973
chrX	1673.0	129.0	16.0	14.0	0.009563658099222952	0.10852713178294573	0.017578278270422975
average	834.8636363636364	233.72727272727272	53.22727272727273	53.22727272727273	0.08905309191073113	0.22156480659074332	0.11743919069658375
standard error	108.83404689651346	28.590948664450686	9.109704596068246	9.198374554833238	0.01785935411898655	0.01760571321105116	0.017031004211132527
overall	18367.0	5142.0	1171.0	1171.0	0.06375564871780912	0.2277323998444185	0.09962142158322344
