chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	245.0	671.0	196.0	198.0	0.8	0.29508196721311475	0.43113772455089816
chr2	109.0	354.0	79.0	82.0	0.7247706422018348	0.23163841807909605	0.3510730544114459
chr3	94.0	343.0	63.0	66.0	0.6702127659574468	0.1924198250728863	0.29899687196634667
chr4	40.0	214.0	29.0	30.0	0.725	0.14018691588785046	0.23494463948150146
chr5	64.0	257.0	43.0	44.0	0.671875	0.17120622568093385	0.27287805581596597
chr6	89.0	347.0	63.0	64.0	0.7078651685393258	0.1844380403458213	0.292629821823856
chr7	98.0	272.0	70.0	71.0	0.7142857142857143	0.2610294117647059	0.38233710285406575
chr8	43.0	207.0	31.0	31.0	0.7209302325581395	0.1497584541062802	0.248
chr10	63.0	258.0	44.0	46.0	0.6984126984126984	0.17829457364341086	0.2840701754385965
chr11	95.0	353.0	70.0	73.0	0.7368421052631579	0.20679886685552407	0.3229578132406383
chr12	86.0	242.0	68.0	67.0	0.7906976744186046	0.2768595041322314	0.41011792240525696
chr13	19.0	64.0	9.0	10.0	0.47368421052631576	0.15625	0.2349869451697128
chr14	29.0	129.0	20.0	20.0	0.6896551724137931	0.15503875968992248	0.2531645569620253
chr15	60.0	189.0	47.0	47.0	0.7833333333333333	0.24867724867724866	0.3775100401606425
chr16	69.0	182.0	51.0	51.0	0.7391304347826086	0.2802197802197802	0.40637450199203184
chr17	84.0	276.0	69.0	71.0	0.8214285714285714	0.2572463768115942	0.39179462571976964
chr18	23.0	83.0	11.0	11.0	0.4782608695652174	0.13253012048192772	0.20754716981132074
chr19	68.0	230.0	58.0	59.0	0.8529411764705882	0.2565217391304348	0.39442139234670354
chr20	54.0	171.0	45.0	45.0	0.8333333333333334	0.2631578947368421	0.4
chr21	20.0	59.0	16.0	16.0	0.8	0.2711864406779661	0.4050632911392405
chr22	67.0	112.0	43.0	43.0	0.6417910447761194	0.38392857142857145	0.48044692737430167
chrX	32.0	129.0	16.0	16.0	0.5	0.12403100775193798	0.19875776397515527
average	70.5	233.72727272727272	51.86363636363637	52.77272727272727	0.7079295521939456	0.2189318246540037	0.33087319984724894
standard error	10.135179400082738	28.590948664450686	8.237885097856012	8.35130490313955	0.02279663550099408	0.014108274624046825	0.017391072084474147
overall	1551.0	5142.0	1141.0	1161.0	0.7356544165054804	0.22578763127187865	0.34552611573720676
